Hybrid,Location,PlantHeight
G7,GEH1,169.40529208804907
G7,IAH1,187.69132391788196
G7,IAH3,186.80228371684555
G7,IAH4,138.53097037964585
G7,ILH1,177.7380118385379
G7,INH1,166.9212337327745
G7,MIH1,217.38089939302196
G7,MOH2,188.81743047276285
G7,NCH1,148.2531967199407
G7,NEH1,194.42266053289586
G7,NEH2,149.5879036175659
G7,NEH3,207.6073473414137
G7,NYH2,250.71010434806104
G7,NYH3,199.86176511752257
G7,SCH1,169.62056317540763
G7,TXH1,179.42174135233603
G7,TXH2,159.28037231647136
G7,TXH3,191.13325979798472
G7,WIH1,169.7695278453495
G7,WIH2,195.80225019797788
G7,WIH3,189.7258147417836
G8,ILH1,194.5656796696436
G8,INH1,207.67203371281485
G8,NCH1,152.24874155787788
G8,SCH1,153.66263042315222
G8,TXH1,161.66083312074957
G8,TXH3,183.85895953557025
G8,WIH3,182.45151447936914
G9,GAH1,151.74418665698767
G9,GAH2,127.91389427303238
G9,IAH1,188.78755505434054
G9,IAH3,149.1822119278013
G9,IAH4,126.47546464754207
G9,INH1,201.940136763815
G9,MOH2,132.75889710365857
G9,NEH1,204.3944877133487
G9,NEH2,109.27937024846223
G9,NEH3,190.90948332701703
G9,SCH1,172.6109949160805
G9,WIH3,185.41728137267862
G10,DEH1,172.39248140844535
G10,GAH1,148.42842443982067
G10,GAH2,143.95192912540176
G10,GEH1,180.0446265928108
G10,IAH1,205.9080776393469
G10,IAH3,182.82602397183894
G10,IAH4,181.50604017588145
G10,ILH1,155.46383099818337
G10,INH1,157.37203403093014
G10,MIH1,210.16910705359453
G10,MOH2,125.60767033862547
G10,NCH1,159.2858423014183
G10,NEH1,201.36012720131015
G10,NEH2,157.85912290603008
G10,NEH3,205.52985698011034
G10,NYH2,155.0636853208914
G10,NYH3,210.39809275596826
G10,SCH1,148.20452277395634
G10,TXH1,186.3449498996353
G10,TXH2,146.86001291724375
G10,TXH3,178.71290039875714
G10,WIH1,157.3491684461219
G10,WIH2,183.3818907987503
G10,WIH3,177.305455342556
G11,ILH1,162.56000895653807
G11,INH1,160.97122507738553
G11,MOH2,117.88685427425182
G11,NCH1,159.59273400840993
G11,SCH1,138.5141724847461
G11,TXH1,153.17200282706457
G11,TXH3,178.43325114259724
G11,WIH3,177.02580608639613
G12,DEH1,134.31500449058953
G12,GAH1,152.983540934188
G12,GAH2,120.50005342219079
G12,GEH1,126.66536673631008
G12,IAH1,152.25229213359364
G12,IAH3,151.11218155268028
G12,IAH4,119.7708952799094
G12,ILH1,122.95554350824591
G12,INH1,178.40083381586768
G12,MIH1,150.5684169639376
G12,MOH2,36.79605113321608
G12,NCH1,118.95024798946925
G12,NEH1,127.02244089166942
G12,NEH2,123.56750370066038
G12,NEH3,150.62455239490663
G12,NYH2,150.8173681004201
G12,NYH3,120.82189724427766
G12,SCH1,136.81701785914026
G12,TXH2,108.78253599938796
G12,TXH3,140.63542348090132
G12,WIH1,119.27169152826609
G12,WIH2,145.3044138808945
G12,WIH3,139.2279784247002
G13,DEH1,166.51500449057698
G13,GAH1,173.57133389251987
G13,GAH2,152.00388160077313
G13,GEH1,124.72186958885317
G13,IAH1,197.74167148645637
G13,IAH3,281.50789456286986
G13,IAH4,185.9052873265512
G13,ILH1,142.11232878571576
G13,MIH1,186.78103952602942
G13,MOH2,94.62534597176776
G13,NCH1,137.4096848331454
G13,NEH1,177.38538013572403
G13,NEH2,117.64181092742177
G13,NEH3,170.28267494968327
G13,NYH2,135.69620840302284
G13,NYH3,190.17912455152688
G13,SCH1,173.26073839378563
G13,TXH1,160.25363490514292
G13,TXH2,140.9825359993754
G13,TXH3,172.83542348088878
G13,WIH1,151.47169152825353
G13,WIH2,177.50441388088194
G13,WIH3,171.42797842468764
G14,DEH1,205.69650670304642
G14,GAH2,153.24723120425836
G14,GEH1,195.2889579834194
G14,IAH1,167.17522786741617
G14,IAH3,193.64252108125658
G14,IAH4,210.7504278747594
G14,ILH1,149.08124548342764
G14,INH1,216.26233602828233
G14,MIH1,218.04814100358735
G14,MOH2,158.27808842600328
G14,NCH1,215.77829169118343
G14,NEH1,221.91108929268782
G14,NEH2,189.92900591307506
G14,NEH3,222.1999554838191
G14,NYH2,233.36514701567035
G14,NYH3,185.11914411672802
G14,SCH1,169.0792461035374
G14,TXH1,194.3054072477053
G14,TXH2,180.16403821184485
G14,TXH3,212.01692569335822
G14,WIH1,190.653193740723
G14,WIH2,216.68591609335138
G14,WIH3,210.6094806371571
G15,DEH1,153.565148514444
G15,GAH1,153.58576618468894
G15,GAH2,75.31161083661237
G15,GEH1,118.20091275715012
G15,IAH1,158.91589170274926
G15,IAH3,146.0339768870336
G15,IAH4,95.28327808641748
G15,ILH1,138.74160095147545
G15,INH1,117.20139682999017
G15,MIH1,227.11114884087982
G15,MOH2,114.60530482488508
G15,NCH1,102.99910072875574
G15,NEH1,128.05692209356678
G15,NEH2,141.7043434175383
G15,NEH3,174.89283242270392
G15,NYH2,176.1095167003951
G15,NYH3,153.47235201426207
G15,SCH1,167.83427611617557
G15,TXH1,125.3511323924437
G15,TXH2,128.03268002324245
G15,TXH3,159.88556750475578
G15,WIH1,138.52183555212056
G15,WIH2,164.55455790474895
G16,DEH1,167.6174185992357
G16,GAH1,152.21210172330922
G16,GAH2,137.90655852122995
G16,GEH1,139.74129158160198
G16,IAH1,169.21471462442082
G16,IAH3,191.6751843695685
G16,IAH4,165.85652287635486
G16,ILH1,136.25215737961685
